entry,at,order
"The player ""Matt @ VroTcYA-gK"" quits the game with a stack of 23027.",2025-12-20T09:53:33.071Z,176622441307100
"The player ""Matt @ VroTcYA-gK"" stand up with the stack of 23027.",2025-12-20T09:53:19.418Z,176622439941800
"The player ""sean @ QBFJyJmi22"" stand up with the stack of 3802.",2025-12-20T09:53:13.763Z,176622439376300
"-- ending hand #903 --",2025-12-20T09:53:10.825Z,176622439082502
"""Matt @ VroTcYA-gK"" collected 80 from pot",2025-12-20T09:53:10.825Z,176622439082501
"Uncalled bet of 60 returned to ""Matt @ VroTcYA-gK""",2025-12-20T09:53:10.825Z,176622439082500
"""sean @ QBFJyJmi22"" folds",2025-12-20T09:53:10.009Z,176622439000900
"""Matt @ VroTcYA-gK"" raises to 100",2025-12-20T09:53:05.996Z,176622438599600
"""sean @ QBFJyJmi22"" posts a big blind of 40",2025-12-20T09:53:01.328Z,176622438132805
"""Matt @ VroTcYA-gK"" posts a small blind of 20",2025-12-20T09:53:01.328Z,176622438132804
"Player stacks: #4 ""sean @ QBFJyJmi22"" (3842) | #9 ""Matt @ VroTcYA-gK"" (22987)",2025-12-20T09:53:01.328Z,176622438132801
"-- starting hand #903 (id: luxsj5z15h7j)  (No Limit Texas Hold'em) (dealer: ""Matt @ VroTcYA-gK"") --",2025-12-20T09:53:01.328Z,176622438132800
"-- ending hand #902 --",2025-12-20T09:52:58.367Z,176622437836702
"""Matt @ VroTcYA-gK"" collected 40 from pot",2025-12-20T09:52:58.367Z,176622437836701
"Uncalled bet of 20 returned to ""Matt @ VroTcYA-gK""",2025-12-20T09:52:58.367Z,176622437836700
"""sean @ QBFJyJmi22"" folds",2025-12-20T09:52:57.538Z,176622437753800
"""Matt @ VroTcYA-gK"" posts a big blind of 40",2025-12-20T09:52:56.028Z,176622437602805
"""sean @ QBFJyJmi22"" posts a small blind of 20",2025-12-20T09:52:56.028Z,176622437602804
"Player stacks: #4 ""sean @ QBFJyJmi22"" (3862) | #9 ""Matt @ VroTcYA-gK"" (22967)",2025-12-20T09:52:56.028Z,176622437602801
"-- starting hand #902 (id: 6yrsuc35iw6g)  (No Limit Texas Hold'em) (dealer: ""sean @ QBFJyJmi22"") --",2025-12-20T09:52:56.028Z,176622437602800
"-- ending hand #901 --",2025-12-20T09:52:53.126Z,176622437312602
"""sean @ QBFJyJmi22"" collected 200 from pot",2025-12-20T09:52:53.126Z,176622437312601
"Uncalled bet of 250 returned to ""sean @ QBFJyJmi22""",2025-12-20T09:52:53.126Z,176622437312600
"""Matt @ VroTcYA-gK"" folds",2025-12-20T09:52:52.303Z,176622437230300
"""sean @ QBFJyJmi22"" raises to 350",2025-12-20T09:52:50.271Z,176622437027100
"""Matt @ VroTcYA-gK"" raises to 100",2025-12-20T09:52:47.060Z,176622436706000
"""sean @ QBFJyJmi22"" posts a big blind of 40",2025-12-20T09:52:42.019Z,176622436201905
"""Matt @ VroTcYA-gK"" posts a small blind of 20",2025-12-20T09:52:42.019Z,176622436201904
"Player stacks: #4 ""sean @ QBFJyJmi22"" (3762) | #9 ""Matt @ VroTcYA-gK"" (23067)",2025-12-20T09:52:42.019Z,176622436201901
"-- starting hand #901 (id: bcq078pwhe2t)  (No Limit Texas Hold'em) (dealer: ""Matt @ VroTcYA-gK"") --",2025-12-20T09:52:42.019Z,176622436201900
"-- ending hand #900 --",2025-12-20T09:52:39.100Z,176622435910002
"""Matt @ VroTcYA-gK"" collected 40 from pot",2025-12-20T09:52:39.100Z,176622435910001
"Uncalled bet of 20 returned to ""Matt @ VroTcYA-gK""",2025-12-20T09:52:39.100Z,176622435910000
"""sean @ QBFJyJmi22"" folds",2025-12-20T09:52:38.258Z,176622435825800
"""Matt @ VroTcYA-gK"" posts a big blind of 40",2025-12-20T09:52:36.955Z,176622435695505
"""sean @ QBFJyJmi22"" posts a small blind of 20",2025-12-20T09:52:36.955Z,176622435695504
"Player stacks: #4 ""sean @ QBFJyJmi22"" (3782) | #9 ""Matt @ VroTcYA-gK"" (23047)",2025-12-20T09:52:36.955Z,176622435695501
"-- starting hand #900 (id: axlo3jgmtnmb)  (No Limit Texas Hold'em) (dealer: ""sean @ QBFJyJmi22"") --",2025-12-20T09:52:36.955Z,176622435695500
"-- ending hand #899 --",2025-12-20T09:52:34.017Z,176622435401702
"""Matt @ VroTcYA-gK"" collected 80 from pot",2025-12-20T09:52:34.017Z,176622435401701
"Uncalled bet of 60 returned to ""Matt @ VroTcYA-gK""",2025-12-20T09:52:34.017Z,176622435401700
"""sean @ QBFJyJmi22"" folds",2025-12-20T09:52:33.204Z,176622435320400
"""Matt @ VroTcYA-gK"" raises to 100",2025-12-20T09:52:31.674Z,176622435167400
"""sean @ QBFJyJmi22"" posts a big blind of 40",2025-12-20T09:52:26.293Z,176622434629305
"""Matt @ VroTcYA-gK"" posts a small blind of 20",2025-12-20T09:52:26.293Z,176622434629304
"Player stacks: #4 ""sean @ QBFJyJmi22"" (3822) | #9 ""Matt @ VroTcYA-gK"" (23007)",2025-12-20T09:52:26.293Z,176622434629301
"-- starting hand #899 (id: 9kskbtleaerc)  (No Limit Texas Hold'em) (dealer: ""Matt @ VroTcYA-gK"") --",2025-12-20T09:52:26.293Z,176622434629300
"-- ending hand #898 --",2025-12-20T09:52:23.345Z,176622434334502
"""sean @ QBFJyJmi22"" collected 200 from pot",2025-12-20T09:52:23.345Z,176622434334501
"Uncalled bet of 100 returned to ""sean @ QBFJyJmi22""",2025-12-20T09:52:23.345Z,176622434334500
"""Matt @ VroTcYA-gK"" folds",2025-12-20T09:52:22.493Z,176622434249300
"""sean @ QBFJyJmi22"" bets 100",2025-12-20T09:52:20.445Z,176622434044500
"""Matt @ VroTcYA-gK"" checks",2025-12-20T09:52:17.007Z,176622433700700
"Flop:  [Q♦, 5♥, 7♣]",2025-12-20T09:52:15.167Z,176622433516700
"""Matt @ VroTcYA-gK"" calls 100",2025-12-20T09:52:14.351Z,176622433435100
"""sean @ QBFJyJmi22"" raises to 100",2025-12-20T09:52:10.274Z,176622433027400
"""Matt @ VroTcYA-gK"" posts a big blind of 40",2025-12-20T09:52:07.486Z,176622432748605
"""sean @ QBFJyJmi22"" posts a small blind of 20",2025-12-20T09:52:07.486Z,176622432748604
"Player stacks: #4 ""sean @ QBFJyJmi22"" (3722) | #9 ""Matt @ VroTcYA-gK"" (23107)",2025-12-20T09:52:07.486Z,176622432748601
"-- starting hand #898 (id: ghwb8mwwjzwg)  (No Limit Texas Hold'em) (dealer: ""sean @ QBFJyJmi22"") --",2025-12-20T09:52:07.486Z,176622432748600
"-- ending hand #897 --",2025-12-20T09:52:04.561Z,176622432456102
"""Matt @ VroTcYA-gK"" collected 200 from pot",2025-12-20T09:52:04.561Z,176622432456101
"Uncalled bet of 80 returned to ""Matt @ VroTcYA-gK""",2025-12-20T09:52:04.561Z,176622432456100
"""sean @ QBFJyJmi22"" folds",2025-12-20T09:52:03.745Z,176622432374500
"""Matt @ VroTcYA-gK"" bets 80",2025-12-20T09:52:00.751Z,176622432075100
"""sean @ QBFJyJmi22"" checks",2025-12-20T09:51:54.339Z,176622431433900
"Flop:  [Q♠, A♦, 8♠]",2025-12-20T09:51:52.576Z,176622431257600
"""sean @ QBFJyJmi22"" calls 100",2025-12-20T09:51:51.762Z,176622431176200
"""Matt @ VroTcYA-gK"" raises to 100",2025-12-20T09:51:49.889Z,176622430988900
"""sean @ QBFJyJmi22"" posts a big blind of 40",2025-12-20T09:51:45.680Z,176622430568005
"""Matt @ VroTcYA-gK"" posts a small blind of 20",2025-12-20T09:51:45.680Z,176622430568004
"Player stacks: #4 ""sean @ QBFJyJmi22"" (3822) | #9 ""Matt @ VroTcYA-gK"" (23007)",2025-12-20T09:51:45.680Z,176622430568001
"-- starting hand #897 (id: uyv1leulhg9x)  (No Limit Texas Hold'em) (dealer: ""Matt @ VroTcYA-gK"") --",2025-12-20T09:51:45.680Z,176622430568000
"-- ending hand #896 --",2025-12-20T09:51:42.764Z,176622430276402
"""Matt @ VroTcYA-gK"" collected 40 from pot",2025-12-20T09:51:42.764Z,176622430276401
"Uncalled bet of 20 returned to ""Matt @ VroTcYA-gK""",2025-12-20T09:51:42.764Z,176622430276400
"""sean @ QBFJyJmi22"" folds",2025-12-20T09:51:41.922Z,176622430192200
"""Matt @ VroTcYA-gK"" posts a big blind of 40",2025-12-20T09:51:40.478Z,176622430047805
"""sean @ QBFJyJmi22"" posts a small blind of 20",2025-12-20T09:51:40.478Z,176622430047804
"Player stacks: #4 ""sean @ QBFJyJmi22"" (3842) | #9 ""Matt @ VroTcYA-gK"" (22987)",2025-12-20T09:51:40.478Z,176622430047801
"-- starting hand #896 (id: v7lqrd4r3u18)  (No Limit Texas Hold'em) (dealer: ""sean @ QBFJyJmi22"") --",2025-12-20T09:51:40.478Z,176622430047800
"-- ending hand #895 --",2025-12-20T09:51:37.441Z,176622429744103
"""sean @ QBFJyJmi22"" collected 280 from pot with Pair, A's (combination: A♥, A♦, K♥, J♣, 7♣)",2025-12-20T09:51:37.441Z,176622429744102
"""sean @ QBFJyJmi22"" shows a J♣, K♥.",2025-12-20T09:51:37.441Z,176622429744101
"""Matt @ VroTcYA-gK"" shows a 10♠, 8♠.",2025-12-20T09:51:37.441Z,176622429744100
"""Matt @ VroTcYA-gK"" checks",2025-12-20T09:51:36.618Z,176622429661800
"""sean @ QBFJyJmi22"" checks",2025-12-20T09:51:28.139Z,176622428813900
"River: 5♥, A♥, 2♥, A♦ [7♣]",2025-12-20T09:51:26.431Z,176622428643100
"""Matt @ VroTcYA-gK"" checks",2025-12-20T09:51:25.575Z,176622428557500
"""sean @ QBFJyJmi22"" checks",2025-12-20T09:51:14.419Z,176622427441900
"Turn: 5♥, A♥, 2♥ [A♦]",2025-12-20T09:51:13.023Z,176622427302300
"""sean @ QBFJyJmi22"" calls 40",2025-12-20T09:51:12.156Z,176622427215600
"""Matt @ VroTcYA-gK"" bets 40",2025-12-20T09:51:10.536Z,176622427053600
"""sean @ QBFJyJmi22"" checks",2025-12-20T09:51:03.051Z,176622426305100
"Flop:  [5♥, A♥, 2♥]",2025-12-20T09:51:01.131Z,176622426113100
"""sean @ QBFJyJmi22"" calls 100",2025-12-20T09:51:00.316Z,176622426031600
"""Matt @ VroTcYA-gK"" raises to 100",2025-12-20T09:50:58.340Z,176622425834000
"""sean @ QBFJyJmi22"" posts a big blind of 40",2025-12-20T09:50:52.443Z,176622425244305
"""Matt @ VroTcYA-gK"" posts a small blind of 20",2025-12-20T09:50:52.443Z,176622425244304
"Player stacks: #4 ""sean @ QBFJyJmi22"" (3702) | #9 ""Matt @ VroTcYA-gK"" (23127)",2025-12-20T09:50:52.443Z,176622425244301
"-- starting hand #895 (id: thqqwbjjmwvd)  (No Limit Texas Hold'em) (dealer: ""Matt @ VroTcYA-gK"") --",2025-12-20T09:50:52.443Z,176622425244300
"-- ending hand #894 --",2025-12-20T09:50:49.524Z,176622424952402
"""Matt @ VroTcYA-gK"" collected 40 from pot",2025-12-20T09:50:49.524Z,176622424952401
"Uncalled bet of 20 returned to ""Matt @ VroTcYA-gK""",2025-12-20T09:50:49.524Z,176622424952400
"""sean @ QBFJyJmi22"" folds",2025-12-20T09:50:48.716Z,176622424871600
"""Matt @ VroTcYA-gK"" posts a big blind of 40",2025-12-20T09:50:45.431Z,176622424543105
"""sean @ QBFJyJmi22"" posts a small blind of 20",2025-12-20T09:50:45.431Z,176622424543104
"Player stacks: #4 ""sean @ QBFJyJmi22"" (3722) | #9 ""Matt @ VroTcYA-gK"" (23107)",2025-12-20T09:50:45.431Z,176622424543101
"-- starting hand #894 (id: xspcei0uhcfg)  (No Limit Texas Hold'em) (dealer: ""sean @ QBFJyJmi22"") --",2025-12-20T09:50:45.431Z,176622424543100
"-- ending hand #893 --",2025-12-20T09:50:42.525Z,176622424252502
"""Matt @ VroTcYA-gK"" collected 80 from pot",2025-12-20T09:50:42.525Z,176622424252501
"Uncalled bet of 60 returned to ""Matt @ VroTcYA-gK""",2025-12-20T09:50:42.525Z,176622424252500
"""sean @ QBFJyJmi22"" folds",2025-12-20T09:50:41.714Z,176622424171400
"""Matt @ VroTcYA-gK"" raises to 100",2025-12-20T09:50:39.193Z,176622423919300
"""sean @ QBFJyJmi22"" posts a big blind of 40",2025-12-20T09:50:34.371Z,176622423437105
"""Matt @ VroTcYA-gK"" posts a small blind of 20",2025-12-20T09:50:34.371Z,176622423437104
"Player stacks: #4 ""sean @ QBFJyJmi22"" (3762) | #9 ""Matt @ VroTcYA-gK"" (23067)",2025-12-20T09:50:34.371Z,176622423437101
"-- starting hand #893 (id: htrjxux1gkkg)  (No Limit Texas Hold'em) (dealer: ""Matt @ VroTcYA-gK"") --",2025-12-20T09:50:34.371Z,176622423437100
"-- ending hand #892 --",2025-12-20T09:50:31.365Z,176622423136502
"""Matt @ VroTcYA-gK"" collected 500 from pot with Straight, 5 High (combination: 5♥, 4♦, 3♦, 2♦, A♣)",2025-12-20T09:50:31.365Z,176622423136501
"""Matt @ VroTcYA-gK"" shows a 2♦, A♣.",2025-12-20T09:50:31.365Z,176622423136500
"""sean @ QBFJyJmi22"" calls 150",2025-12-20T09:50:30.558Z,176622423055800
"""Matt @ VroTcYA-gK"" bets 150",2025-12-20T09:50:29.138Z,176622422913800
"River: 3♦, K♣, 5♥, 8♥ [4♦]",2025-12-20T09:50:21.573Z,176622422157300
"""sean @ QBFJyJmi22"" checks",2025-12-20T09:50:20.766Z,176622422076600
"""Matt @ VroTcYA-gK"" checks",2025-12-20T09:50:16.248Z,176622421624800
"Turn: 3♦, K♣, 5♥ [8♥]",2025-12-20T09:50:07.367Z,176622420736700
"""sean @ QBFJyJmi22"" checks",2025-12-20T09:50:06.531Z,176622420653100
"""Matt @ VroTcYA-gK"" checks",2025-12-20T09:50:04.341Z,176622420434100
"Flop:  [3♦, K♣, 5♥]",2025-12-20T09:50:02.432Z,176622420243200
"""Matt @ VroTcYA-gK"" calls 100",2025-12-20T09:50:01.593Z,176622420159300
"""sean @ QBFJyJmi22"" raises to 100",2025-12-20T09:49:57.477Z,176622419747700
"""Matt @ VroTcYA-gK"" posts a big blind of 40",2025-12-20T09:49:43.213Z,176622418321305
"""sean @ QBFJyJmi22"" posts a small blind of 20",2025-12-20T09:49:43.213Z,176622418321304
"Player stacks: #4 ""sean @ QBFJyJmi22"" (4012) | #9 ""Matt @ VroTcYA-gK"" (22817)",2025-12-20T09:49:43.213Z,176622418321301
"-- starting hand #892 (id: idifm1xvr5cr)  (No Limit Texas Hold'em) (dealer: ""sean @ QBFJyJmi22"") --",2025-12-20T09:49:43.213Z,176622418321300
"-- ending hand #891 --",2025-12-20T09:49:40.307Z,176622418030702
"""Matt @ VroTcYA-gK"" collected 200 from pot",2025-12-20T09:49:40.307Z,176622418030701
"Uncalled bet of 80 returned to ""Matt @ VroTcYA-gK""",2025-12-20T09:49:40.307Z,176622418030700
"""sean @ QBFJyJmi22"" folds",2025-12-20T09:49:39.466Z,176622417946600
"""Matt @ VroTcYA-gK"" bets 80",2025-12-20T09:49:36.650Z,176622417665000
"""sean @ QBFJyJmi22"" checks",2025-12-20T09:49:31.257Z,176622417125700
"River: 6♣, 4♣, K♠, J♥ [10♠]",2025-12-20T09:49:29.741Z,176622416974100
"""Matt @ VroTcYA-gK"" checks",2025-12-20T09:49:28.917Z,176622416891700
"""sean @ QBFJyJmi22"" checks",2025-12-20T09:49:25.554Z,176622416555400
"Turn: 6♣, 4♣, K♠ [J♥]",2025-12-20T09:49:23.899Z,176622416389900
"""Matt @ VroTcYA-gK"" checks",2025-12-20T09:49:23.092Z,176622416309200
"""sean @ QBFJyJmi22"" checks",2025-12-20T09:49:17.927Z,176622415792700
"Flop:  [6♣, 4♣, K♠]",2025-12-20T09:49:16.231Z,176622415623100
"""sean @ QBFJyJmi22"" calls 100",2025-12-20T09:49:15.426Z,176622415542600
"""Matt @ VroTcYA-gK"" raises to 100",2025-12-20T09:49:14.074Z,176622415407400
"""sean @ QBFJyJmi22"" posts a big blind of 40",2025-12-20T09:49:09.992Z,176622414999205
"""Matt @ VroTcYA-gK"" posts a small blind of 20",2025-12-20T09:49:09.992Z,176622414999204
"Player stacks: #4 ""sean @ QBFJyJmi22"" (4112) | #9 ""Matt @ VroTcYA-gK"" (22717)",2025-12-20T09:49:09.992Z,176622414999201
"-- starting hand #891 (id: wxrsrle0nly5)  (No Limit Texas Hold'em) (dealer: ""Matt @ VroTcYA-gK"") --",2025-12-20T09:49:09.992Z,176622414999200
"-- ending hand #890 --",2025-12-20T09:49:07.077Z,176622414707702
"""sean @ QBFJyJmi22"" collected 80 from pot",2025-12-20T09:49:07.077Z,176622414707701
"Uncalled bet of 60 returned to ""sean @ QBFJyJmi22""",2025-12-20T09:49:07.077Z,176622414707700
"""Matt @ VroTcYA-gK"" folds",2025-12-20T09:49:06.263Z,176622414626300
"""sean @ QBFJyJmi22"" raises to 100",2025-12-20T09:49:03.249Z,176622414324900
"""Matt @ VroTcYA-gK"" posts a big blind of 40",2025-12-20T09:48:59.985Z,176622413998505
"""sean @ QBFJyJmi22"" posts a small blind of 20",2025-12-20T09:48:59.985Z,176622413998504
"Player stacks: #4 ""sean @ QBFJyJmi22"" (4072) | #9 ""Matt @ VroTcYA-gK"" (22757)",2025-12-20T09:48:59.985Z,176622413998501
"-- starting hand #890 (id: swhkqwseo43g)  (No Limit Texas Hold'em) (dealer: ""sean @ QBFJyJmi22"") --",2025-12-20T09:48:59.985Z,176622413998500
"-- ending hand #889 --",2025-12-20T09:48:57.066Z,176622413706602
"""sean @ QBFJyJmi22"" collected 80 from pot",2025-12-20T09:48:57.066Z,176622413706601
"Uncalled bet of 160 returned to ""sean @ QBFJyJmi22""",2025-12-20T09:48:57.066Z,176622413706600
"""Matt @ VroTcYA-gK"" folds",2025-12-20T09:48:56.200Z,176622413620000
"""sean @ QBFJyJmi22"" raises to 200",2025-12-20T09:48:53.768Z,176622413376800
"""Matt @ VroTcYA-gK"" calls 40",2025-12-20T09:48:49.529Z,176622412952900
"""sean @ QBFJyJmi22"" posts a big blind of 40",2025-12-20T09:48:44.274Z,176622412427405
"""Matt @ VroTcYA-gK"" posts a small blind of 20",2025-12-20T09:48:44.274Z,176622412427404
"Player stacks: #4 ""sean @ QBFJyJmi22"" (4032) | #9 ""Matt @ VroTcYA-gK"" (22797)",2025-12-20T09:48:44.274Z,176622412427401
"-- starting hand #889 (id: d8yfgmxsm5mh)  (No Limit Texas Hold'em) (dealer: ""Matt @ VroTcYA-gK"") --",2025-12-20T09:48:44.274Z,176622412427400
"-- ending hand #888 --",2025-12-20T09:48:41.364Z,176622412136402
"""Matt @ VroTcYA-gK"" collected 200 from pot",2025-12-20T09:48:41.364Z,176622412136401
"Uncalled bet of 300 returned to ""Matt @ VroTcYA-gK""",2025-12-20T09:48:41.364Z,176622412136400
"""sean @ QBFJyJmi22"" folds",2025-12-20T09:48:40.548Z,176622412054800
"""Matt @ VroTcYA-gK"" raises to 400",2025-12-20T09:48:31.628Z,176622411162800
"""sean @ QBFJyJmi22"" raises to 100",2025-12-20T09:48:25.031Z,176622410503100
"""Matt @ VroTcYA-gK"" posts a big blind of 40",2025-12-20T09:48:21.759Z,176622410175905
"""sean @ QBFJyJmi22"" posts a small blind of 20",2025-12-20T09:48:21.759Z,176622410175904
"Player stacks: #4 ""sean @ QBFJyJmi22"" (4132) | #9 ""Matt @ VroTcYA-gK"" (22697)",2025-12-20T09:48:21.759Z,176622410175901
"-- starting hand #888 (id: ygha4is22bcs)  (No Limit Texas Hold'em) (dealer: ""sean @ QBFJyJmi22"") --",2025-12-20T09:48:21.759Z,176622410175900
"-- ending hand #887 --",2025-12-20T09:48:18.843Z,176622409884302
"""Matt @ VroTcYA-gK"" collected 200 from pot",2025-12-20T09:48:18.843Z,176622409884301
"Uncalled bet of 80 returned to ""Matt @ VroTcYA-gK""",2025-12-20T09:48:18.843Z,176622409884300
"""sean @ QBFJyJmi22"" folds",2025-12-20T09:48:17.991Z,176622409799100
"""Matt @ VroTcYA-gK"" bets 80",2025-12-20T09:48:14.572Z,176622409457200
"""sean @ QBFJyJmi22"" checks",2025-12-20T09:48:09.046Z,176622408904600
"Flop:  [4♣, 2♣, 10♦]",2025-12-20T09:48:07.520Z,176622408752000
"""sean @ QBFJyJmi22"" calls 100",2025-12-20T09:48:06.679Z,176622408667900
"""Matt @ VroTcYA-gK"" raises to 100",2025-12-20T09:48:04.499Z,176622408449900
"""sean @ QBFJyJmi22"" posts a big blind of 40",2025-12-20T09:47:59.996Z,176622407999605
"""Matt @ VroTcYA-gK"" posts a small blind of 20",2025-12-20T09:47:59.996Z,176622407999604
"Player stacks: #4 ""sean @ QBFJyJmi22"" (4232) | #9 ""Matt @ VroTcYA-gK"" (22597)",2025-12-20T09:47:59.996Z,176622407999601
"-- starting hand #887 (id: rwhy4hli79pf)  (No Limit Texas Hold'em) (dealer: ""Matt @ VroTcYA-gK"") --",2025-12-20T09:47:59.996Z,176622407999600
"-- ending hand #886 --",2025-12-20T09:47:56.995Z,176622407699502
"""Matt @ VroTcYA-gK"" collected 40 from pot",2025-12-20T09:47:56.995Z,176622407699501
"Uncalled bet of 20 returned to ""Matt @ VroTcYA-gK""",2025-12-20T09:47:56.995Z,176622407699500
"""sean @ QBFJyJmi22"" folds",2025-12-20T09:47:56.169Z,176622407616900
"""Matt @ VroTcYA-gK"" posts a big blind of 40",2025-12-20T09:47:55.005Z,176622407500505
"""sean @ QBFJyJmi22"" posts a small blind of 20",2025-12-20T09:47:55.005Z,176622407500504
"Player stacks: #4 ""sean @ QBFJyJmi22"" (4252) | #9 ""Matt @ VroTcYA-gK"" (22577)",2025-12-20T09:47:55.005Z,176622407500501
"-- starting hand #886 (id: jmw86lwip97m)  (No Limit Texas Hold'em) (dealer: ""sean @ QBFJyJmi22"") --",2025-12-20T09:47:55.005Z,176622407500500
"""sean @ QBFJyJmi22"" shows a K♠.",2025-12-20T09:47:53.538Z,176622407353800
"-- ending hand #885 --",2025-12-20T09:47:51.393Z,176622407139302
"""sean @ QBFJyJmi22"" collected 200 from pot",2025-12-20T09:47:51.393Z,176622407139301
"Uncalled bet of 250 returned to ""sean @ QBFJyJmi22""",2025-12-20T09:47:51.393Z,176622407139300
"""Matt @ VroTcYA-gK"" folds",2025-12-20T09:47:50.482Z,176622407048200
"""sean @ QBFJyJmi22"" raises to 350",2025-12-20T09:47:44.925Z,176622406492500
"""Matt @ VroTcYA-gK"" raises to 100",2025-12-20T09:47:41.886Z,176622406188600
"""sean @ QBFJyJmi22"" posts a big blind of 40",2025-12-20T09:47:38.143Z,176622405814305
"""Matt @ VroTcYA-gK"" posts a small blind of 20",2025-12-20T09:47:38.143Z,176622405814304
"Player stacks: #4 ""sean @ QBFJyJmi22"" (4152) | #9 ""Matt @ VroTcYA-gK"" (22677)",2025-12-20T09:47:38.143Z,176622405814301
"-- starting hand #885 (id: zjg3o08agkmj)  (No Limit Texas Hold'em) (dealer: ""Matt @ VroTcYA-gK"") --",2025-12-20T09:47:38.143Z,176622405814300
"-- ending hand #884 --",2025-12-20T09:47:35.143Z,176622405514302
"""Matt @ VroTcYA-gK"" collected 200 from pot",2025-12-20T09:47:35.143Z,176622405514301
"Uncalled bet of 150 returned to ""Matt @ VroTcYA-gK""",2025-12-20T09:47:35.143Z,176622405514300
"""sean @ QBFJyJmi22"" folds",2025-12-20T09:47:34.312Z,176622405431200
"""Matt @ VroTcYA-gK"" bets 150",2025-12-20T09:47:32.925Z,176622405292500
"Turn: 6♠, 6♥, 6♣ [10♣]",2025-12-20T09:47:27.034Z,176622404703400
"""sean @ QBFJyJmi22"" checks",2025-12-20T09:47:26.184Z,176622404618400
"""Matt @ VroTcYA-gK"" checks",2025-12-20T09:47:24.273Z,176622404427300
"Flop:  [6♠, 6♥, 6♣]",2025-12-20T09:47:22.566Z,176622404256600
"""Matt @ VroTcYA-gK"" calls 100",2025-12-20T09:47:21.747Z,176622404174700
"""sean @ QBFJyJmi22"" raises to 100",2025-12-20T09:47:18.742Z,176622403874200
"""Matt @ VroTcYA-gK"" posts a big blind of 40",2025-12-20T09:47:16.030Z,176622403603005
"""sean @ QBFJyJmi22"" posts a small blind of 20",2025-12-20T09:47:16.030Z,176622403603004
"Player stacks: #4 ""sean @ QBFJyJmi22"" (4252) | #9 ""Matt @ VroTcYA-gK"" (22577)",2025-12-20T09:47:16.030Z,176622403603001
"-- starting hand #884 (id: jfjyu5ll1nb9)  (No Limit Texas Hold'em) (dealer: ""sean @ QBFJyJmi22"") --",2025-12-20T09:47:16.030Z,176622403603000
"-- ending hand #883 --",2025-12-20T09:47:13.127Z,176622403312702
"""Matt @ VroTcYA-gK"" collected 80 from pot",2025-12-20T09:47:13.127Z,176622403312701
"Uncalled bet of 60 returned to ""Matt @ VroTcYA-gK""",2025-12-20T09:47:13.127Z,176622403312700
"""sean @ QBFJyJmi22"" folds",2025-12-20T09:47:12.236Z,176622403223600
"""Matt @ VroTcYA-gK"" raises to 100",2025-12-20T09:47:09.221Z,176622402922100
"""sean @ QBFJyJmi22"" posts a big blind of 40",2025-12-20T09:47:05.523Z,176622402552305
"""Matt @ VroTcYA-gK"" posts a small blind of 20",2025-12-20T09:47:05.523Z,176622402552304
"Player stacks: #4 ""sean @ QBFJyJmi22"" (4292) | #9 ""Matt @ VroTcYA-gK"" (22537)",2025-12-20T09:47:05.523Z,176622402552301
"-- starting hand #883 (id: kntvnaksyitc)  (No Limit Texas Hold'em) (dealer: ""Matt @ VroTcYA-gK"") --",2025-12-20T09:47:05.523Z,176622402552300
"-- ending hand #882 --",2025-12-20T09:47:02.520Z,176622402252002
"""Matt @ VroTcYA-gK"" collected 40 from pot",2025-12-20T09:47:02.520Z,176622402252001
"Uncalled bet of 20 returned to ""Matt @ VroTcYA-gK""",2025-12-20T09:47:02.520Z,176622402252000
"""sean @ QBFJyJmi22"" folds",2025-12-20T09:47:01.658Z,176622402165800
"""Matt @ VroTcYA-gK"" posts a big blind of 40",2025-12-20T09:47:00.115Z,176622402011505
"""sean @ QBFJyJmi22"" posts a small blind of 20",2025-12-20T09:47:00.115Z,176622402011504
"Player stacks: #4 ""sean @ QBFJyJmi22"" (4312) | #9 ""Matt @ VroTcYA-gK"" (22517)",2025-12-20T09:47:00.115Z,176622402011501
"-- starting hand #882 (id: faiwi0zvbuh2)  (No Limit Texas Hold'em) (dealer: ""sean @ QBFJyJmi22"") --",2025-12-20T09:47:00.115Z,176622402011500
"-- ending hand #881 --",2025-12-20T09:46:57.096Z,176622401709602
"""Matt @ VroTcYA-gK"" collected 200 from pot",2025-12-20T09:46:57.096Z,176622401709601
"Uncalled bet of 80 returned to ""Matt @ VroTcYA-gK""",2025-12-20T09:46:57.096Z,176622401709600
"""sean @ QBFJyJmi22"" folds",2025-12-20T09:46:56.210Z,176622401621000
"""Matt @ VroTcYA-gK"" bets 80",2025-12-20T09:46:54.080Z,176622401408000
"""sean @ QBFJyJmi22"" checks",2025-12-20T09:46:47.917Z,176622400791700
"Flop:  [Q♠, 4♣, 2♣]",2025-12-20T09:46:46.380Z,176622400638000
"""sean @ QBFJyJmi22"" calls 100",2025-12-20T09:46:45.576Z,176622400557600
"""Matt @ VroTcYA-gK"" raises to 100",2025-12-20T09:46:42.023Z,176622400202300
"""sean @ QBFJyJmi22"" posts a big blind of 40",2025-12-20T09:46:35.452Z,176622399545205
"""Matt @ VroTcYA-gK"" posts a small blind of 20",2025-12-20T09:46:35.452Z,176622399545204
"Player stacks: #4 ""sean @ QBFJyJmi22"" (4412) | #9 ""Matt @ VroTcYA-gK"" (22417)",2025-12-20T09:46:35.452Z,176622399545201
